iter	Passed	Remaining
462	760	882
463	761	880
464	765	880
465	766	878
466	767	875
467	770	875
468	771	873
469	772	871
470	774	869
471	775	867
472	776	864
473	777	862
474	777	859
475	779	858
476	780	856
477	782	854
478	783	851
479	785	851
480	786	848
481	790	849
482	791	847
483	794	846
484	797	846
485	798	844
486	801	844
487	802	842
488	803	840
489	804	837
490	805	835
491	807	833
492	808	831
493	809	828
494	810	826
495	811	824
496	814	824
497	816	823
498	818	821
499	820	820
500	821	818
501	824	817
502	825	815
503	826	813
504	827	810
505	830	810
506	831	808
507	832	805
508	832	803
509	838	805
510	841	805
511	843	804
512	844	801
513	847	801
514	853	803
515	854	801
516	855	799
517	857	798
518	859	796
519	870	803
520	872	801
521	873	800
522	875	798
523	876	796
524	877	793
525	879	792
526	880	790
527	882	788
528	886	789
529	888	787
530	889	785
531	899	791
532	900	789
533	902	787
534	904	785
535	904	783
536	905	780
537	906	778
538	909	777
539	910	775
540	910	772
541	911	770
542	915	770
543	917	768
544	918	766
545	919	764
546	921	762
547	922	760
548	924	759
549	927	758
550	934	761
551	938	761
552	939	759
553	943	759
554	944	756
555	945	754
556	951	756
557	954	755
558	955	753
559	956	751
560	957	749
561	961	749
562	962	747
563	965	746
564	966	744
565	967	742
566	968	739
567	971	738
568	972	736
569	972	733
570	973	731
571	978	732
572	979	729
573	980	727
574	983	726
575	984	724
576	985	722
577	988	721
578	989	719
579	990	717
580	991	714
581	994	713
582	994	711
583	996	709
584	997	707
585	1000	706
586	1000	704
587	1001	701
588	1002	699
589	1006	699
590	1007	697
591	1008	694
592	1011	694
593	1012	692
594	1016	691
595	1018	690
596	1019	688
597	1022	687
598	1024	685
599	1026	684
600	1028	682
601	1029	680
602	1031	679
603	1033	677
604	1036	676
605	1037	674
606	1038	672
607	1038	669
608	1039	667
609	1042	666
610	1043	664
611	1043	661
612	1044	659
613	1045	657
614	1046	655
615	1047	653
616	1048	650
617	1049	648
618	1051	647
619	1052	645
620	1053	643
621	1054	640
622	1056	639
623	1057	637
624	1058	635
625	1059	632
626	1060	630
627	1062	629
628	1063	627
629	1064	624
630	1064	622
631	1065	620
632	1067	619
633	1068	617
634	1069	614
635	1070	612
636	1071	610
637	1073	608
638	1073	606
639	1074	604
640	1075	602
641	1076	600
642	1077	598
643	1082	598
644	1085	597
645	1085	595
646	1086	592
647	1087	590
648	1088	588
649	1090	587
650	1091	585
651	1092	583
652	1095	582
653	1098	580
654	1101	580
655	1103	578
656	1103	576
657	1104	574
658	1107	572
659	1108	571
660	1109	569
661	1110	567
662	1113	566
663	1115	564
664	1116	562
665	1119	561
666	1120	559
667	1121	557
668	1122	555
669	1125	554
670	1126	552
671	1127	550
672	1130	549
673	1131	547
674	1132	545
675	1133	543
676	1135	541
677	1137	540
678	1138	538
679	1139	536
680	1142	535
681	1143	533
682	1147	532
683	1149	530
684	1150	528
685	1153	528
686	1154	526
687	1158	525
688	1159	523
689	1160	521
690	1161	519
691	1165	518
692	1166	516
693	1167	514
694	1170	513
695	1172	511
696	1173	510
697	1177	509
698	1179	508
699	1180	506
700	1181	504
701	1193	506
702	1197	505
703	1198	503
704	1202	503
705	1205	501
706	1207	500
707	1208	498
708	1210	496
709	1216	496
710	1221	496
711	1222	494
712	1226	493
713	1228	491
714	1232	491
715	1233	489
716	1234	487
717	1236	485
718	1238	484
719	1241	482
720	1242	480
721	1258	484
722	1259	482
723	1263	481
724	1265	479
725	1266	477
726	1269	476
727	1270	474
728	1272	473
729	1274	471
730	1275	469
731	1276	467
732	1277	465
733	1281	464
734	1282	462
735	1284	460
736	1286	459
737	1287	457
738	1290	455
739	1291	453
740	1292	451
741	1293	449
742	1295	448
743	1296	446
744	1297	444
745	1299	442
746	1302	441
747	1303	439
748	1308	438
749	1309	436
750	1310	434
751	1312	433
752	1314	431
753	1315	429
754	1316	427
755	1317	425
756	1321	424
757	1323	422
758	1325	420
759	1326	418
760	1327	416
761	1329	415
762	1337	415
763	1340	414
764	1341	412
765	1342	410
766	1344	408
767	1345	406
768	1347	404
769	1348	402
770	1373	407
771	1375	406
772	1376	404
773	1381	403
774	1382	401
775	1383	399
776	1384	397
777	1385	395
778	1386	393
779	1388	391
780	1392	390
781	1393	388
782	1396	387
783	1397	385
784	1398	383
785	1399	381
786	1400	379
787	1402	377
788	1403	375
789	1404	373
790	1407	371
791	1409	370
792	1410	368
793	1412	366
794	1413	364
795	1414	362
796	1415	360
797	1419	359
798	1420	357
799	1421	355
800	1422	353
801	1425	351
802	1426	349
803	1427	347
804	1428	346
805	1429	344
806	1430	342
807	1431	340
808	1432	338
809	1434	336
810	1436	334
811	1437	332
812	1438	330
813	1440	329
814	1441	327
815	1445	325
816	1446	324
817	1449	322
818	1452	320
819	1454	319
820	1455	317
821	1459	316
822	1471	316
823	1472	314
824	1473	312
825	1475	310
826	1479	309
827	1483	308
828	1506	310
829	1514	310
830	1518	308
831	1519	306
832	1520	304
833	1523	303
834	1524	301
835	1534	301
836	1536	299
837	1537	297
838	1538	295
839	1541	293
840	1542	291
841	1543	289
842	1545	287
843	1546	285
844	1547	283
845	1548	281
846	1552	280
847	1553	278
848	1556	276
849	1558	274
850	1559	272
851	1560	271
852	1575	271
853	1576	269
854	1577	267
855	1581	266
856	1583	264
857	1584	262
858	1586	260
859	1587	258
860	1588	256
861	1592	254
862	1594	253
863	1597	251
864	1600	249
865	1603	248
866	1609	246
867	1610	244
868	1611	242
869	1615	241
870	1616	239
871	1618	237
872	1619	235
873	1625	234
874	1627	232
875	1628	230
876	1631	228
877	1635	227
878	1636	225
879	1638	223
880	1639	221
881	1641	219
882	1642	217
883	1643	215
884	1644	213
885	1644	211
886	1646	209
887	1647	207
888	1649	205
889	1650	203
890	1652	202
891	1653	200
892	1654	198
893	1655	196
